[28-11-22 02:00:02.377] reason = roomSpotted x,y,z = 10091,12629,3 room = livingroom
reason = roomSpotted x,y,z = 10098,12629,3 room = livingroom
reason = roomSpotted x,y,z = 10100,12626,3 room = livingroom
reason = roomSpotted x,y,z = 10090,12633,3 room = livingroom
reason = roomSpotted x,y,z = 10109,12630,1 room = livingroom
reason = roomSpotted x,y,z = 10113,12635,1 room = livingroom
reason = roomSpotted x,y,z = 10113,12631,1 room = livingroom
reason = roomSpotted x,y,z = 10113,12632,1 room = livingroom
reason = roomSpotted x,y,z = 10109,12631,1 room = livingroom
reason = roomSpotted x,y,z = 10114,12632,1 room = livingroom
reason = roomSpotted x,y,z = 10114,12630,1 room = livingroom
reason = roomSpotted x,y,z = 10112,12632,1 room = livingroom
reason = roomSpotted x,y,z = 10116,12631,1 room = livingroom
reason = roomSpotted x,y,z = 10110,12633,1 room = livingroom
reason = roomSpotted x,y,z = 10112,12627,1 room = kitchen
reason = roomSpotted x,y,z = 10117,12626,1 room = livingroom
reason = roomSpotted x,y,z = 10115,12629,1 room = livingroom.
[28-11-22 02:00:02.380] reason = roomSpotted x,y,z = 10116,12629,1 room = livingroom
reason = roomSpotted x,y,z = 10108,12632,1 room = livingroom
reason = roomSpotted x,y,z = 10117,12634,1 room = livingroom
reason = roomSpotted x,y,z = 10118,12634,1 room = livingroom
reason = roomSpotted x,y,z = 10115,12633,1 room = livingroom
reason = roomSpotted x,y,z = 10110,12633,2 room = livingroom
reason = roomSpotted x,y,z = 10111,12634,2 room = livingroom
reason = roomSpotted x,y,z = 10114,12635,2 room = livingroom
